session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ef4b5751fb3f50a592ec3b4,5ae18a87066c510001d47ea9,RETURNED,2020-06-25 14:32:24.810000,,65279.573301,68,136,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b5a06a17e30a4fec0f3f,57daaa67995a0b00016351a4,APPROVED,2020-06-25 14:33:07.395000,2020-06-25 14:57:54.395000,1487.0,32,216,2,100,2020-06-25 14:59:15.700000,19A786C6,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
5ef4b6ae40846d0ab5daed8c,5ee021501b8bce36afadd510,APPROVED,2020-06-25 14:37:36.710000,2020-06-25 15:20:57.166000,2600.456,18,7,0,100,2020-06-25 15:26:34.110000,19A786C6,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
5ef4b6eb59b3880a983545c7,5e0c857e79f2fa4449060364,TIMED-OUT,2020-06-25 14:38:42.513000,,64901.905419,41,46,0,100,,,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5ef4b7079d934209ed14da8a,5ca1f7ca51673e0016843676,APPROVED,2020-06-25 14:39:22.643000,2020-06-25 15:03:06.024000,1423.381,45,83,0,100,2020-06-25 15:10:36.757000,19A786C6,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5ef4b7248308d009838f37ce,5ebb10a81635db0ce24f187a,RETURNED,2020-06-25 14:39:34.918000,,64849.535849,19,3,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b72f0facfb0a0f94f2f2,5c5d6c4f8e5a5a0001b7b44a,APPROVED,2020-06-25 14:40:01.752000,2020-06-25 15:03:47.018000,1425.266,21,29,0,100,2020-06-25 15:09:54.565000,19A786C6,United Kingdom,United Kingdom,Due to start a new job within the next month,English,United Kingdom,Female,Yes
5ef4b73d3363e9088a348b51,5eb6d97302d33d5dd9628665,APPROVED,2020-06-25 14:40:02.524000,2020-06-25 15:04:49.198000,1486.674,22,9,0,100,2020-06-25 15:10:53.882000,19A786C6,United Kingdom,United Kingdom,Other,English,United Kingdom,Male,Yes
5ef4b75318648a090dff68cc,5eecbc07cb44f707a4c1b108,APPROVED,2020-06-25 14:40:40.987000,2020-06-25 15:03:57.367000,1396.38,20,5,0,100,2020-06-25 15:08:46.479000,19A786C6,India,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
5ef4b7641f51160aab9c3cbd,5b6dbb955729b200016a53d7,APPROVED,2020-06-25 14:41:11.787000,2020-06-25 15:04:36.716000,1404.929,27,298,2,100,2020-06-25 15:07:50.598000,NOCODE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5ef4b76a66ca90087f5008ba,5cb5d30d39adb5001898e297,RETURNED,2020-06-25 14:40:45.002000,,64779.560282,19,91,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b7907dcd650a6455f3ed,5cb5dc8233f33d001769d6a1,RETURNED,2020-06-25 14:41:26.689000,,64737.873358,24,50,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b7a0e683900aa631028a,5e11cb793f291585b16ef640,RETURNED,2020-06-25 14:41:41.449000,,64723.113397,41,78,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b7bb3363e9088a348b52,5d41de57b0ca72001a9d862a,RETURNED,2020-06-25 14:52:03.604000,,64100.958432,58,123,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b7d86ff410099e236f82,5e9476209da60e7bc2a6d57f,APPROVED,2020-06-25 14:42:55.480000,2020-06-25 15:20:03.965000,2228.485,48,25,0,100,2020-06-25 15:25:02.110000,19A786C6,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5ef4b82b9d9cc30aeb950226,5ee0f931b970660c20be7c82,RETURNED,2020-06-25 14:43:56.709000,,64587.878299,22,4,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b84ac9e7b707fac5cc0e,5da1bba7e56111001514ee45,APPROVED,2020-06-25 14:44:34.085000,2020-06-25 15:11:25.854000,1611.769,20,35,0,100,2020-06-25 15:27:08.662000,19A786C6,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
5ef4b86f126bfa0a902be24d,5e7e80809f0aba5550f52420,APPROVED,2020-06-25 14:51:16.229000,2020-06-25 15:19:34.934000,1698.705,23,49,0,100,2020-06-25 15:24:45.809000,19A786C6,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,No
5ef4b8812a8ed109e9029385,5e1e1c204248b8000cfb43ba,RETURNED,2020-06-25 14:45:42.147000,,64482.488576,30,44,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b88de70b3109e7b3bd98,5edfdfcf36d2b82fcd47356c,APPROVED,2020-06-25 14:46:06.454000,2020-06-25 15:12:47.504000,1601.05,22,11,0,100,2020-06-25 15:30:02.139000,19A786C6,United Kingdom,United Kingdom,Other,English,United Kingdom,Male,Yes
5ef4b8a5532bca08c3ba888f,5e162e31398bb6c0ab5c2428,RETURNED,2020-06-25 14:45:59.449000,2020-06-25 14:47:14.755000,75.306,54,63,0,100,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b8b01340af0816b3a353,5ef0938260a4445ddeebf8e7,RETURNED,2020-06-25 14:46:19.542000,2020-06-25 14:52:38.024000,378.482,28,3,0,100,,3A6A8359,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4b8e05820820a758edb72,5ed681190d7fc40c392aeef7,APPROVED,2020-06-25 14:46:59.593000,2020-06-25 15:15:19.710000,1700.117,33,9,0,100,2020-06-25 15:30:37.761000,19A786C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
5ef4b9d88166630a9e153022,5bfbf60d18430e000186a0b6,APPROVED,2020-06-25 14:51:15.795000,2020-06-25 15:26:43.506000,2127.711,52,293,1,100,2020-06-25 15:31:00.008000,19A786C6,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5ef4b9d85820820acdc58eee,59f4a9477086f80001941298,APPROVED,2020-06-25 14:51:50.712000,2020-06-25 15:15:55.674000,1444.962,26,231,0,100,2020-06-25 15:24:31.054000,19A786C6,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
5ef4ba20a6dbb60aa22fbb4b,5a47fa82ee927b0001e1eaae,APPROVED,2020-06-25 14:52:23.088000,2020-06-25 15:30:50.435000,2307.347,56,70,1,100,2020-06-25 16:23:15.967000,19A786C6,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker, retired or disabled)",English,United Kingdom,Male,No
5ef4bc40f0ef150ac1c4fab3,5de966a035fcd40948c78ff1,RETURNED,2020-06-25 15:01:29.679000,,63535.054914,21,96,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4bcaf170fdf0bcb3b978f,5eaab3ea851f4f017a73f288,APPROVED,2020-06-25 15:03:12.777000,2020-06-25 15:26:01.067000,1368.29,18,20,0,100,2020-06-25 15:29:02.179000,19A786C6,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
5ef4be38f1f1220a9e1dcc93,5dac24ce634607001372d0d2,RETURNED,2020-06-25 15:16:21.085000,,62643.672912,23,76,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4c291503b5b0947142663,5ed96d809d0c93500acfc536,RETURNED,2020-06-25 15:28:37.072000,,61907.686,18,12,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4c438d4f9cb0a05202ba6,5e6284ad6e2f2c01e24c1cee,APPROVED,2020-06-25 15:35:39.690000,2020-06-25 16:10:52.636000,2112.946,23,53,0,100,2020-06-25 16:22:48.330000,19A786C6,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
5ef4ca0aed44d20c70457dac,5ea136ae50c77d13a487e671,RETURNED,2020-06-25 16:00:53.704000,,59971.075433,46,77,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4cad4126bfa0cf68697b3,5ef0f1326db55469e9d76825,APPROVED,2020-06-25 16:03:32.906000,2020-06-25 16:27:02.714000,1409.808,29,4,0,100,2020-06-25 16:31:55.932000,19A786C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
5ef4cd37dff5d40d3811aff8,5ef33d4931654f046965c67c,RETURNED,2020-06-25 16:13:43.350000,,59201.453755,25,5,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4d62282af3c0e613291f3,5edaca318f29cf7309ac2ed5,RETURNED,2020-06-25 16:51:48.894000,,56915.909834,19,8,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4d67b4b9fed0c5dff9602,5eededd6f8348723614fea2c,APPROVED,2020-06-25 16:53:51.035000,2020-06-25 17:22:44.356000,1733.321,24,8,0,100,2020-06-25 21:50:32.305000,19A786C6,United Kingdom,,Full-Time,English,United Kingdom,Female,No
5ef5abfaa3fa22000a52321f,5ea551c094a32d5228f95bf2,APPROVED,2020-06-26 08:04:10.192000,2020-06-26 08:38:33.165000,2062.973,37,68,1,100,2020-06-26 08:39:58.407000,19A786C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
