event_nr,question_nr,trial_nr,event_type
1,1,1,pain
1,2,2,pain
1,3,3,pain
1,4,4,pain
1,5,5,pain
1,6,6,pain
1,7,7,pain
1,8,8,pain
1,9,9,pain
1,10,10,pain
1,11,11,pain
1,12,12,pain
1,13,13,pain
1,14,14,pain
2,1,15,mental
2,2,16,mental
2,3,17,mental
2,4,18,mental
2,5,19,mental
2,6,20,mental
2,7,21,mental
2,8,22,mental
2,9,23,mental
2,10,24,mental
2,11,25,mental
2,12,26,mental
2,13,27,mental
2,14,28,mental
3,1,29,pain
3,2,30,pain
3,3,31,pain
3,4,32,pain
3,5,33,pain
3,6,34,pain
3,7,35,pain
3,8,36,pain
3,9,37,pain
3,10,38,pain
3,11,39,pain
3,12,40,pain
3,13,41,pain
3,14,42,pain
4,1,43,mental
4,2,44,mental
4,3,45,mental
4,4,46,mental
4,5,47,mental
4,6,48,mental
4,7,49,mental
5,1,50,pain
5,2,51,pain
5,3,52,pain
5,4,53,pain
5,5,54,pain
5,6,55,pain
5,7,56,pain
6,1,57,mental
6,2,58,mental
6,3,59,mental
6,4,60,mental
6,5,61,mental
6,6,62,mental
6,7,63,mental
6,8,64,mental
6,9,65,mental
6,10,66,mental
6,11,67,mental
6,12,68,mental
6,13,69,mental
6,14,70,mental
7,1,71,pain
7,2,72,pain
7,3,73,pain
7,4,74,pain
7,5,75,pain
7,6,76,pain
7,7,77,pain
7,8,78,pain
7,9,79,pain
7,10,80,pain
7,11,81,pain
7,12,82,pain
7,13,83,pain
7,14,84,pain
8,1,85,mental
8,2,86,mental
8,3,87,mental
8,4,88,mental
8,5,89,mental
8,6,90,mental
8,7,91,mental
8,8,92,mental
8,9,93,mental
8,10,94,mental
8,11,95,mental
8,12,96,mental
8,13,97,mental
8,14,98,mental
9,1,99,pain
9,2,100,pain
9,3,101,pain
9,4,102,pain
9,5,103,pain
9,6,104,pain
9,7,105,pain
9,8,106,pain
9,9,107,pain
9,10,108,pain
9,11,109,pain
9,12,110,pain
9,13,111,pain
9,14,112,pain
10,1,113,pain
10,2,114,pain
10,3,115,pain
10,4,116,pain
10,5,117,pain
10,6,118,pain
10,7,119,pain
10,8,120,pain
10,9,121,pain
10,10,122,pain
10,11,123,pain
10,12,124,pain
10,13,125,pain
10,14,126,pain
11,1,127,pain
11,2,128,pain
11,3,129,pain
11,4,130,pain
11,5,131,pain
11,6,132,pain
11,7,133,pain
11,8,134,pain
11,9,135,pain
11,10,136,pain
11,11,137,pain
11,12,138,pain
11,13,139,pain
11,14,140,pain
12,1,141,mental
12,2,142,mental
12,3,143,mental
12,4,144,mental
12,5,145,mental
12,6,146,mental
12,7,147,mental
12,8,148,mental
12,9,149,mental
12,10,150,mental
12,11,151,mental
12,12,152,mental
12,13,153,mental
12,14,154,mental
13,1,155,mental
13,2,156,mental
13,3,157,mental
13,4,158,mental
13,5,159,mental
13,6,160,mental
13,7,161,mental
13,8,162,mental
13,9,163,mental
13,10,164,mental
13,11,165,mental
13,12,166,mental
13,13,167,mental
13,14,168,mental
14,1,169,pain
14,2,170,pain
14,3,171,pain
14,4,172,pain
14,5,173,pain
14,6,174,pain
14,7,175,pain
15,1,176,mental
15,2,177,mental
15,3,178,mental
15,4,179,mental
15,5,180,mental
15,6,181,mental
15,7,182,mental
15,8,183,mental
15,9,184,mental
15,10,185,mental
15,11,186,mental
15,12,187,mental
15,13,188,mental
15,14,189,mental
16,1,190,pain
16,2,191,pain
16,3,192,pain
16,4,193,pain
16,5,194,pain
16,6,195,pain
16,7,196,pain
16,8,197,pain
16,9,198,pain
16,10,199,pain
16,11,200,pain
16,12,201,pain
16,13,202,pain
16,14,203,pain
end,ae1,204,none
end,ae2,205,none
end,ae3,206,none
end,ae4,207,none